ID,Software,Link,Description,Subtype,Year,Last Modified
CB166,Apache httpd,https://serverfault.com/questions/418101/apache-client-denied-by-server-configuration-despite-allowing-access-to-direc,Client denied by server configuration: /home/remix/,Identifier error,2012,2020
CB167,Apache httpd,https://stackoverflow.com/questions/28251219,PHP running from Apache cannot write to filesystem,Unauthorized access,2015,2017
CB168,MySQL,http://serverfault.com/questions/304648/mysql-and-multi-core-processors,MySQL and Multi-Core processors,Identifier error,2011,2011
CB169,PostgreSQL,https://stackoverflow.com/questions/41526546/vagrant-how-to-access-guests-postgres-server-from-host/41527398#41527398,Vagrant - How to access guests postgres server from host,Identifier error,2017,2020
CB170,MySQL,https://stackoverflow.com/questions/16637492,MySQl Configuration Error After reinstall it,Identifier error,2013,2013
CB171,Apache httpd,https://serverfault.com/questions/851187/apache-does-not-listen-to-specified-port,Apache does not listen to specified port,Identifier error,2017,2017
CB172,Others,https://stackoverflow.com/questions/36473479,How to set the PATH environment variable in Jenkins configuration on Windows?,Identifier error,2016,2023
CB173,MySQL,https://stackoverflow.com/questions/74942002,connect mysql instance using auth proxy（should set private ip）,Unauthorized access,2022,2022
CB174,MySQL,https://stackoverflow.com/questions/74808107,"bind-address in the configuration file, if it set to it will allow only localhost login.127.0.0.1 （wrong ip）",Identifier error,2022,2022
CB175,PostgreSQL,https://stackoverflow.com/questions/74677369/,refer to host's localhost via .host.docker.internal,Identifier error,2022,2022
CB176,MySQL,https://stackoverflow.com/questions/74420726/,port was occupied,Resource competing,2022,2022
CB177,MySQL,https://stackoverflow.com/questions/74416286,enabling SSL/TLS on server,Unauthorized access,2022,2022
CB178,MySQL,https://stackoverflow.com/questions/74291717,have to give it privileges to connect to that database,Unauthorized access,2022,2022
CB179,MySQL,https://stackoverflow.com/questions/74267253,wrong URL,Identifier error,2022,2022
CB180,MySQL,https://stackoverflow.com/questions/74072585,Integrated Security=true;,Unauthorized access,2022,2022
CB181,Nginx,https://stackoverflow.com/questions/72855671,a listener for example.net,Identifier error,2022,2022
CB182,Nginx,https://stackoverflow.com/questions/74238832,add server_name on the listen 80 of both blocks  conflict server name,Resource competing,2022,2022
CB183,Nginx,https://stackoverflow.com/questions/72735826/,wrong path,Identifier error,2022,2022
CB184,Others,https://stackoverflow.com/questions/72433208,"change home path, version of apache 2.2",Identifier error,2022,2022
CB185,PHP,https://stackoverflow.com/questions/72347049," PHP settings for mysqli have the same settings with unix, upgrade from 10.5 to 10.6",Identifier error,2022,2022
CB186,PHP,https://stackoverflow.com/questions/72204502/,internal container communication with another port,Identifier error,2022,2022
CB187,Nginx,https://stackoverflow.com/questions/71475528/,wrong path,Identifier error,2022,2022
CB188,Nginx,https://stackoverflow.com/questions/74927448, typo in the URL,Identifier error,2022,2023
CB189,Nginx,https://stackoverflow.com/questions/74770177/,wrong URL,Identifier error,2022,2022
CB190,Nginx,https://stackoverflow.com/questions/73462828,server_name should not have ports,Identifier error,2022,2022
CB191,Nginx,https://stackoverflow.com/questions/73184948, listening on 443 is forwarding the request back to 80 using proxy_pass,Identifier error,2022,2022
CB192,Nginx,https://stackoverflow.com/questions/72129793,Your Ingress points at port 8080 but Service exposes port 80,Identifier error,2022,2022
CB193,Nginx,https://stackoverflow.com/questions/71907762,wrong URL（https？）,Identifier error,2022,2022
CB194,Nginx,https://stackoverflow.com/questions/70887445,wrong path,Identifier error,2022,2022
CB195,Nginx,https://stackoverflow.com/questions/70886968,server_name directives to include the private ip address,Identifier error,2022,2022
CB196,Nginx,https://stackoverflow.com/questions/70848961, whitelist the API server IP address on the database firewall configuration,Unauthorized access,2022,2022
CB197,PostgreSQL,https://stackoverflow.com/questions/74599960,same port,Resource competing,2022,2022
CB198,Others,https://stackoverflow.com/questions/74168669/,wrong url,Identifier error,2022,2023
CB199,Others,https://stackoverflow.com/questions/72641565,wrong port,Identifier error,2022,2022
CB200,Hadoop,https://stackoverflow.com/questions/73994207,wrong port,Identifier error,2022,2022
CB201,Hadoop,https://stackoverflow.com/questions/73027504/,wrong path,Identifier error,2022,2022
CB202,Nginx,https://serverfault.com/questions/1106440/,wrong url,Identifier error,2022,2022
CB203,Nginx,https://serverfault.com/questions/1115189,another config file that had port 80 listening on ssl,Resource competing,2022,2022
CB204,Nginx,https://serverfault.com/questions/1114355/,"contain the domain name of your service, not IP address.",Identifier error,2022,2022
CB205,Nginx,https://stackoverflow.com/questions/77487145,Nginx and Apache HTTPD servers by default listen on the standard HTTP port 80,Resource competing,2023,2023
CB206,Hadoop,https://stackoverflow.com/questions/75858617,the account of windows current user name having a space,Identifier error,2023,2023
CB207,Others,https://stackoverflow.com/questions/77125520,wrong container name,Identifier error,2023,2023
CB208,MySQL,https://stackoverflow.com/questions/76735281,one port shared by two software,Resource competing,2023,2023
CB209,MySQL,https://stackoverflow.com/questions/75602385,wrong port,Identifier error,2023,2023
CB210,PHP,https://stackoverflow.com/questions/75468567,memory limit,Hardware limitation,2023,2023
CB211,MySQL,https://stackoverflow.com/questions/75019943,wrong port,Identifier error,2023,2023
CB212,Nginx,https://stackoverflow.com/questions/77038929,wrong identifier name,Identifier error,2023,2023
CB213,Nginx,https://stackoverflow.com/questions/77579760,redundant trailing slash for 502,Identifier error,2023,2023
CB214,Nginx,https://stackoverflow.com/questions/77482842,https and http should listen to different port,Identifier error,2023,2023
CB215,Nginx,https://stackoverflow.com/questions/77379141,proxy_pass do not point correct container,Identifier error,2023,2023
CB216,Nginx,https://stackoverflow.com/questions/77317363,the host name do not exist,Identifier error,2023,2023
CB217,Nginx,https://stackoverflow.com/questions/77163428,"two containers, both are listening to port 8080 internally",Identifier error,2023,2023
CB218,Others,https://stackoverflow.com/questions/77157071,cache configuration in the application itself,Hardware limitation,2023,2023
CB219,Nginx,https://stackoverflow.com/questions/76948179,wrong path,Identifier error,2023,2023
CB220,Nginx,https://stackoverflow.com/questions/76956106,wrong path,Identifier error,2023,2023
CB221,Nginx,https://stackoverflow.com/questions/76841799,wrong path,Identifier error,2023,2023
CB222,Nginx,https://stackoverflow.com/questions/76448293,environment variable PUBLIC_URL was not defined to / ,Identifier error,2023,2023
CB223,Nginx,https://stackoverflow.com/questions/76259258/,https and http should listen to different port,Identifier error,2023,2024
CB224,Nginx,https://stackoverflow.com/questions/76150479,wrong port,Identifier error,2023,2023
CB225,Nginx,https://stackoverflow.com/questions/75982950/,https and http should listen to different port,Identifier error,2023,2023
CB226,Nginx,https://stackoverflow.com/questions/75964831/,wrong user name,Identifier error,2023,2023
CB227,Nginx,https://stackoverflow.com/questions/75467251/,with a trailing slash) in proxy_pass,Identifier error,2023,2023
CB228,Nginx,https://stackoverflow.com/questions/75407845/,IP not localhost name,Identifier error,2023,2023
CB229,PostgreSQL,https://stackoverflow.com/questions/76315492,path incomplete,Identifier error,2023,2023
CB230,PHP,https://stackoverflow.com/questions/77003286,wrong path,Identifier error,2023,2023
CB231,PHP,https://stackoverflow.com/questions/76486691/,wrong path,Identifier error,2023,2023
CB232,Apache httpd,https://serverfault.com/questions/1140703,missing the leading /,Identifier error,2023,2023
CB233,Nginx,https://serverfault.com/questions/1128178/,wrong IP,Identifier error,2023,2023
CB234,Nginx,https://serverfault.com/questions/1120197/,listen 2 port for nginx,Identifier error,2023,2023
CB235,Nginx,https://stackoverflow.com/questions/76853418,set the wrong port,Identifier error,2023,2023
CB236,PostgreSQL,https://stackoverflow.com/questions/77635478,set the wrong port,Identifier error,2023,2023
CB237,PostgreSQL,https://stackoverflow.com/questions/77323506,set the wrong port,Identifier error,2023,2023
CB238,MySQL,https://dba.stackexchange.com/questions/25165/intermittent-mysql-crashes-with-error-fatal-error-cannot-allocate-memory-for-t,"intermittent MySQL crashes with error ""Fatal error: cannot allocate memory for the buffer pool""",Hardware limitation,2012,2015
CB239,Apache httpd,https://serverfault.com/questions/1068250/apache-reverse-proxy-not-working-and-generates-a-404-error,Apache reverse proxy not working and generates a 404 error,Identifier error,2021,2021
CB240,Hadoop,https://stackoverflow.com/questions/77449386,wrong configuration file format,Identifier error,2023,2023
